Date,Ticker,drawdown_90d,fgi
2023-03-28,BTC,-0.0365550455003126,59.0
2023-03-29,BTC,0.0,57.0
2023-03-30,BTC,-0.011290504645732054,60.0
2023-03-31,BTC,0.0,63.0
2023-04-01,BTC,-0.0004436971814163256,61.0
2023-04-02,BTC,-0.010310426427067903,63.0
2023-04-03,BTC,-0.023374375029860877,63.0
2023-04-04,BTC,-0.010535261103319945,62.0
2023-04-05,BTC,-0.010375769004853696,62.0
2023-04-06,BTC,-0.0151601806546624,63.0
2023-04-07,BTC,-0.019638957666440852,64.0
2023-04-08,BTC,-0.018513027764272067,61.0
2023-04-09,BTC,-0.004974467212078195,61.0
2023-04-10,BTC,0.0,62.0
2023-04-11,BTC,0.0,68.0
2023-04-12,BTC,-0.01034257139470241,65.0
2023-04-13,BTC,0.0,61.0
2023-04-14,BTC,0.0,68.0
2023-04-15,BTC,-0.005640213831849817,68.0
2023-04-16,BTC,-0.005326430985990345,68.0
2023-04-17,BTC,-0.03402574529169824,69.0
2023-04-18,BTC,-0.0028529293893412265,58.0
2023-04-19,BTC,-0.05480795078467052,63.0
2023-04-20,BTC,-0.07297354869689854,52.0
2023-04-21,BTC,-0.1051661588482988,50.0
2023-04-22,BTC,-0.08698218035095763,53.0
2023-04-23,BTC,-0.09440826496138606,56.0
2023-04-24,BTC,-0.0970232314184593,53.0
2023-04-25,BTC,-0.07109807256589355,53.0
2023-04-26,BTC,-0.06733989935973199,56.0
2023-04-27,BTC,-0.032630790171507267,59.0
2023-04-28,BTC,-0.037917505964663964,64.0
2023-04-29,BTC,-0.04058433192973495,64.0
2023-04-30,BTC,-0.040493741903106124,60.0
2023-05-01,BTC,-0.07873028230937616,63.0
2023-05-02,BTC,-0.05898428230215515,55.0
2023-05-03,BTC,-0.047289635023942365,64.0
2023-05-04,BTC,-0.053460260026198914,64.0
2023-05-05,BTC,-0.03155290014451734,61.0
2023-05-06,BTC,-0.05313072239309965,60.0
2023-05-07,BTC,-0.06685379852843729,64.0
2023-05-08,BTC,-0.09184187576496874,60.0
2023-05-09,BTC,-0.09317184238779555,51.0
2023-05-10,BTC,-0.09414076180304351,52.0
2023-05-11,BTC,-0.11482318697683033,52.0
2023-05-12,BTC,-0.12052149658662693,49.0
2023-05-13,BTC,-0.1211690839871297,48.0
2023-05-14,BTC,-0.1164971331210595,48.0
2023-05-15,BTC,-0.10847138192131603,50.0
2023-05-16,BTC,-0.11268250526062193,54.0
2023-05-17,BTC,-0.1004800943186596,50.0
2023-05-18,BTC,-0.11965925020998182,51.0
2023-05-19,BTC,-0.11772338072789093,48.0
2023-05-20,BTC,-0.11043121180900077,48.0
2023-05-21,BTC,-0.1220717020060768,52.0
2023-05-22,BTC,-0.1187405491790607,49.0
2023-05-23,BTC,-0.10658507437408363,50.0
2023-05-24,BTC,-0.13581676919860328,50.0
2023-05-25,BTC,-0.13106473149739734,51.0
2023-05-26,BTC,-0.12344565074328138,49.0
2023-05-27,BTC,-0.11857643681197941,48.0
2023-05-28,BTC,-0.07883728357271311,50.0
2023-05-29,BTC,-0.08962274833729551,52.0
2023-05-30,BTC,-0.09100129222077837,51.0
2023-05-31,BTC,-0.10688901047791824,51.0
2023-06-01,BTC,-0.11976920549592623,52.0
2023-06-02,BTC,-0.10583081393497802,50.0
2023-06-03,BTC,-0.11152124615115468,53.0
2023-06-04,BTC,-0.11001174059874104,52.0
2023-06-05,BTC,-0.15553683945182528,53.0
2023-06-06,BTC,-0.10624142307741537,44.0
2023-06-07,BTC,-0.13547771304821327,53.0
2023-06-08,BTC,-0.1302500777072058,50.0
2023-06-09,BTC,-0.13093278515426396,50.0
2023-06-10,BTC,-0.151827571731054,49.0
2023-06-11,BTC,-0.14905932432312677,47.0
2023-06-12,BTC,-0.1497275898818818,47.0
2023-06-13,BTC,-0.14877376880440532,45.0
2023-06-14,BTC,-0.1752171945122138,46.0
2023-06-15,BTC,-0.15979424247864812,41.0
2023-06-16,BTC,-0.13529193784867724,47.0
2023-06-17,BTC,-0.12964680064581494,47.0
2023-06-18,BTC,-0.135457034889961,49.0
2023-06-19,BTC,-0.11890203574826876,47.0
2023-06-20,BTC,-0.07086175075729648,49.0
2023-06-21,BTC,-0.015526342824826816,59.0
2023-06-22,BTC,-0.019103007752996514,65.0
2023-06-23,BTC,0.0,65.0
2023-06-24,BTC,-0.00524854587223226,62.0
2023-06-25,BTC,-0.007359108460824092,64.0
2023-06-26,BTC,-0.01370252700522992,55.0
2023-06-27,BTC,0.0,59.0
2023-06-28,BTC,-0.02003848504713209,62.0
2023-06-29,BTC,-0.007986657300625085,54.0
2023-06-30,BTC,-0.007182224678129165,56.0
2023-07-01,BTC,-0.0034712131065499268,59.0
2023-07-02,BTC,-0.0024569568271535225,63.0
2023-07-03,BTC,0.0,62.0
2023-07-04,BTC,-0.012507622880839201,64.0
2023-07-05,BTC,-0.020907235157047375,61.0
2023-07-06,BTC,-0.04046610305492969,56.0
2023-07-07,BTC,-0.02604618021453194,55.0
2023-07-08,BTC,-0.027974207380874423,58.0
2023-07-09,BTC,-0.03195158588017799,55.0
2023-07-10,BTC,-0.02389989793363764,56.0
2023-07-11,BTC,-0.017142655394431997,57.0
2023-07-12,BTC,-0.024913179399284915,64.0
2023-07-13,BTC,0.0,57.0
2023-07-14,BTC,-0.036313716787853376,60.0
2023-07-15,BTC,-0.037028723958589964,56.0
2023-07-16,BTC,-0.038857730740825575,57.0
2023-07-17,BTC,-0.04184588209598517,54.0
2023-07-18,BTC,-0.050711780259761516,56.0
2023-07-19,BTC,-0.04911962556387489,50.0
2023-07-20,BTC,-0.0525916546041661,56.0
2023-07-21,BTC,-0.04935774933927801,50.0
2023-07-22,BTC,-0.052782407962299493,52.0
2023-07-23,BTC,-0.04357061037577457,54.0
2023-07-24,BTC,-0.07241410773686081,55.0
2023-07-25,BTC,-0.07074787715356566,50.0
2023-07-26,BTC,-0.06683584370051343,51.0
2023-07-27,BTC,-0.07094276350112531,51.0
2023-07-28,BTC,-0.06803822570128089,52.0
2023-07-29,BTC,-0.06680595900773913,52.0
2023-07-30,BTC,-0.06908895878233227,52.0
2023-07-31,BTC,-0.07064169111753807,50.0
2023-08-01,BTC,-0.05558044180385271,53.0
2023-08-02,BTC,-0.07211176366421944,53.0
2023-08-03,BTC,-0.07186918897712645,52.0
2023-08-04,BTC,-0.07440143980634713,54.0
2023-08-05,BTC,-0.07573226240159109,50.0
2023-08-06,BTC,-0.07521436703425903,49.0
2023-08-07,BTC,-0.07131536839401245,49.0
2023-08-08,BTC,-0.05353206865976377,54.0
2023-08-09,BTC,-0.05952267787194276,50.0
2023-08-10,BTC,-0.06353612852706932,53.0
2023-08-11,BTC,-0.06448099349435675,51.0
2023-08-12,BTC,-0.06434937367724472,54.0
2023-08-13,BTC,-0.06836568563274317,54.0
2023-08-14,BTC,-0.06432521158521443,50.0
2023-08-15,BTC,-0.07166699041750504,53.0
2023-08-16,BTC,-0.08659312276917926,52.0
2023-08-17,BTC,-0.15358252292299,50.0
2023-08-18,BTC,-0.1716853345321122,37.0
2023-08-19,BTC,-0.1702225741974927,39.0
2023-08-20,BTC,-0.16736190967001888,37.0
2023-08-21,BTC,-0.16936704538626446,38.0
2023-08-22,BTC,-0.1716217500794011,37.0
